ID,code,Q5
1636,230,1
1637,111,2
1638,230,3
1639,114,1
1640,114,1
1641,114,5
1642,114,5
1643,114,2
1644,390,
1645,390,1
1647,340,2
1648,340,3
1649,340,2
1650,340,1
1651,340,7
1652,340,3
1653,340,1
1654,340,
1655,340,2
1656,360,2
1657,313,2
1658,360,2
1659,370,3
1660,370,2
1661,380,2
1662,370,2
1663,380,1
1664,370,2
1665,380,1
1667,380,2
1670,370,1
1674,350,3
1675,370,1
1676,380,2
1677,370,
1679,370,5
1680,380,
1681,380,1
1682,370,1
1683,380,1
1684,380,1
1685,370,2
1686,380,8
1687,380,
1688,360,2
1689,360,2
1690,380,
1691,320,2
1692,360,2
1693,380,1
1694,380,1
1695,360,2
1696,360,1
1697,360,1
1699,360,7
1700,260,2
1701,380,1
1702,380,1
1703,360,5
1704,350,1
1705,360,2
1706,380,3
1707,380,3
1708,210,3
1709,380,2
1710,260,2
1711,320,3
1712,210,2
1713,380,7
1714,380,2
1715,210,2
1716,380,2
1717,260,2
1718,380,2
1719,210,
1720,380,1
1721,260,3
1722,210,7
1723,380,1
1724,320,1
1725,210,1
1726,380,1
1727,260,2
1728,210,3
1729,380,7
1730,260,2
1731,210,3
1732,380,7
1733,260,8
1734,240,2
1735,380,3
1736,210,3
1737,240,2
1738,320,2
1739,260,2
1740,210,5
1741,240,2
1743,350,5
1744,240,3
1745,260,
1746,380,2
1748,240,2
1749,260,1
1750,240,2
1751,313,1
1752,240,2
1753,210,1
1754,260,1
1755,320,1
1757,260,3
1758,240,
1760,210,2
1761,240,
1762,380,1
1763,240,2
1764,210,1
1765,380,3
1766,380,1
1768,380,3
1770,320,3
1771,210,2
1772,320,1
1773,380,3
1774,320,3
1775,320,1
1776,380,2
1777,210,1
1778,320,3
1779,380,
1780,320,7
1781,312,2
1782,320,
1783,210,2
1784,210,2
1785,360,2
1786,210,
1787,312,1
1788,360,2
1790,210,1
1791,210,1
1792,360,2
1793,312,2
1794,210,2
1797,380,3
1798,210,1
1800,210,1
1801,210,2
1802,210,3
1803,210,3
1804,380,
1805,210,3
1806,210,3
1807,210,1
1808,210,1
1810,312,
1811,312,1
1812,320,1
1814,320,3
1815,312,1
1816,312,2
1817,380,2
1818,312,1
1819,380,1
1820,380,1
1821,380,2
1822,210,7
1823,210,
1824,380,1
1825,380,2
1826,380,2
1827,380,2
1828,380,1
1829,380,2
1830,320,
1831,312,9
1832,380,2
1833,380,1
1834,320,3
1835,380,
1836,380,1
1837,380,2
1839,320,2
1841,210,5
1842,210,3
1843,210,2
1844,210,3
1846,380,1
1847,380,1
1848,210,2
1849,380,2
1850,380,2
1851,380,9
1852,380,2
1853,210,
1854,380,3
1855,380,1
1856,360,3
1858,320,1
1859,360,1
1860,380,2
1861,210,2
1862,360,3
1863,320,3
1864,380,1
1865,360,3
1866,380,2
1867,380,4
1868,360,7
1869,320,2
1870,380,7
1871,360,1
1872,380,2
1875,210,2
1878,210,2
1879,380,2
1880,210,2
1881,380,1
1883,360,3
1884,360,3
1885,210,5
1886,360,1
1887,360,3
1888,320,2
1889,260,1
1890,320,2
1891,320,3
1892,320,3
1893,320,1
1894,320,
1895,320,
1896,370,7
1897,370,2
1898,320,3
1899,320,
1900,220,2
1901,320,
1902,320,3
1903,320,7
1904,260,1
1905,260,4
1906,260,2
1907,260,1
1908,260,2
1909,260,1
1910,260,1
1911,260,1
1912,260,2
1913,260,9997
1914,260,1
1916,111,
1917,260,
1918,260,1
1919,260,1
1920,260,1
1921,260,7
1922,260,2
1923,320,
1924,320,
1925,320,
1926,390,3
1929,390,9
1930,390,
1931,114,3
1933,313,3
1934,313,2
1935,111,2
1936,113,1
